email,project_name,profile_name
harikiranyalavarthi@kms-technology.com,11_52_Simple_v1_0,Business Analyst
harikiranyalavarthi@kms-technology.com1,qConnect - Sample Project,Developer
harikiranyalavarthi912@gmail1.com12345679012,qConnect - Sample Project,New User Profile
h.yalavarthi125456789@tricentis.com,qConnect - Sample Project,Project Admin
h.yalavarthi125456789@tricentis.com,11_52_Simple_v1_0,Project Manager
harikiranyalavarthi9@gmail.1com2345,Verizon Test,Quality Assurance
h.yalavarthi12356789@tricentis.com,qTest_QC_Demo_Project,Sessions Project Admin
harikiranyalavarthi9@gmail.com,qTest_QC_Demo_Project,Sessions User
harikiranyalavarthi@kms-technology.com,qTest_QC_Demo_Project,Project Admin
harikiranyalavarthi9@gmail.com,11_52_Simple_v1_0,Untitled
